text,user_provided_answer
What steps should you follow to add a company to your existing payroll subscription in QuickBooks Desktop?,"To add a company to your existing payroll subscription in QuickBooks Desktop, select Employees, then Payroll, select Use My Existing Payroll Service, in the Account Maintenance window select Add File, select the Add to Subscription Number radio button, enter your subscription number and Zip Code, select Next twice, and then select Print or Return to QuickBooks."
How can you remove an EIN from your payroll subscription in QuickBooks?,"To remove an EIN from your payroll subscription, go to Employees, then My Payroll Service, select Account/Billing Information, sign in with the email associated with your payroll account, select Payroll Details, then Manage EIN, select the EIN of the company file you don't need access to, and then select Remove."
What is the purpose of the Unemployment Insurance Program?,The Unemployment Insurance Program provides temporary income for persons who have lost their jobs through no fault of their own while they search for new jobs. The intent of the program is to protect an unemployed worker's financial health and help keep main street businesses and a community's economy stable during periods of high unemployment.
What are the employer reporting requirements for Unemployment Insurance?,An employer must register for Unemployment Insurance within 20 days after first employing workers. Liable employers must electronically file Employer's Contribution and Wage Reports quarterly. Reports must be electronically completed and the tax due electronically paid by the end of the month following each calendar quarter. Tax payments can be made through electronic funds transfer (EFT) via ACH Debit or by credit card in UI EASY. ACH credit is also available on the web page.
Which employers must pay the Unemployment Insurance tax?,"Employers must pay the tax if they have one or more workers during 20 different weeks in a calendar year or have paid $1,500 or more in wages in a calendar quarter. Other liable employers include those who acquire the business of another liable employer, those liable under the Federal Unemployment Tax Act (FUTA), political subdivisions, Indian tribes or business enterprises wholly owned by Indian tribes, nonprofit organizations with 501(c)(3) income tax exemptions employing four or more workers during 20 different weeks in a calendar year, employers of agricultural labor paying $20,000 or more in wages in a calendar quarter or employing ten or more workers in 20 different weeks in a calendar year, and employers of domestic labor paying $1,000 or more in wages in a calendar quarter."
What services are excluded from Unemployment Insurance coverage?,"Services excluded from coverage include service performed for a son, daughter, or spouse, or services performed by a child under age 18 for a parent while living in the parents' home. This exclusion does not apply to corporations or certain limited liability companies (LLC). It applies to partnerships only if the worker has an exempting relationship with each partner."
What is the process for responding to claim notices for Unemployment Insurance?,"An unemployed worker may file a claim for benefits by filing from the website or calling 701-328-4995. The most recent employer and all employers who paid wages on which the claim is based are notified that a claim has been filed. If the claimant has been separated from employment for any reason other than lack of work, the employer must return the notice with full details about the separation to protect their appeal rights. Employers will be notified whether the reasons for separation are disqualifying and whether their account will be charged for the benefits paid to former employees. If any benefits are charged to the employer's account for any calendar quarter, they will receive a notice detailing those charges."
What is the tax rate for Connecticut Paid Family Leave?,The tax rate is 0.5% of employee taxable wages up to the Social Security (SS) limit.
What steps should be followed to add Connecticut Paid Family Leave to employees in QuickBooks Online Payroll?,1. Go to Settings and select Payroll settings. 2. Next to Connecticut Paid Family and Medical Leave select the dropdown menu and choose 0.5%. 3. Enter the Effective date. 4. Select OK to save.
What should be done if an employee is exempt from Connecticut Paid Family Leave in QuickBooks Online Payroll?,"1. Go to Payroll, then Employees. 2. Select your employee. 3. From Tax withholding, select Edit. 4. In the Tax Exemptions section, select CT Paid Family and Medical Leave. 5. Select Save."
Which employees are considered covered employees for paid family leave in Connecticut?,"It does not matter whether an employee is salaried, hourly, full-time, or part-time. The employee must be currently employed in Connecticut or have been employed within the last 12 weeks in Connecticut by an employer who has not obtained permission to have a private plan, and must have earned at least $2,325 in one quarter within 15 months starting 1/1/2021. Self-employed or sole proprietors who have chosen to enroll (for a minimum of 3 years) in the Connecticut Paid Leave Authority may also be eligible for benefits."
Where can you find the Help Center?,You can find the Help Center at /help-center/.
What should you do if the form you are printing does not have a green print button?,You should use the print form button if the form you are printing does not have a green print button.
Where can you make a payment?,You can make a payment at /make-a-payment/.
Where can you check the status of your refund?,You can check the status of your refund at https://myalabamataxes.alabama.gov/%5F/.
What should you do to obtain the best print quality?,"To obtain the best print quality, see additional instructions on the Form FAQs page."
What are the two deposit schedules for federal income tax and Additional Medicare tax?,"There are two deposit schedules, monthly and semi-weekly."
"What forms must employers file to report wages, tips, and other compensation paid to an employee?","Employers must file Forms 941, 943, 944, 945, and 940 to report wages, tips, and other compensation paid to an employee."
"What is the requirement for filing Forms W-2 electronically starting January 1, 2024?","For information returns required to be filed on or after January 1, 2024, the electronically filing requirement threshold has been lowered to 10 total information returns."
What must employers use to make all federal tax deposits?,Employers must use electronic funds transfer (EFTPS) to make all federal tax deposits.
What form should be filed to report FUTA taxes?,"Employers should file Form 940, Employer’s Annual Federal Unemployment (FUTA) Tax Return, to report FUTA taxes."
What should you do if you need to delete or void an employee paycheck or direct deposit?,You should see the article 'Delete or void paychecks after they’re sent' for guidance.
What is the difference between deleting and voiding a payment?,"Deleting a payment removes it from your records and can be done if you haven't sent your payments yet. Voiding a payment changes the payment amount to zero, may require adjustments to balance your books, doesn't stop a direct deposit from processing, and doesn't return funds to you."
What steps should you follow to delete or void unprocessed direct deposit payments or non-direct deposit payments in QuickBooks Online?,"1. Go to Expenses, then Vendors. 2. Select your contractor. 3. Look for the payment you want to delete or void, then select View/Edit. 4. Select Delete or Void. 5. Select Yes to confirm changes."
What should you do if a contractor's direct deposit payment has been returned?,"You can create a Journal Entry to void the transaction in QuickBooks Online. The funds will be posted back to your bank account, and then you can resend the direct deposit payment or hand a paper check to your contractor."
What steps should you follow to void contractor payments in QuickBooks Desktop Payroll?,"Step 1: Void contractor payments: 1. Select the Vendor menu, then select Vendor Center. 2. From the Vendors tab, select the vendor name. 3. From the Transactions tab, double-click the check you want to void. 4. Right-click the check image and select Void. After you void the paycheck, a notation is included in the Memo field, and the net amount of the check is 0.00. Step 2: Send the voided payments: 1. Select the Employees menu, then select Send Payroll Data. 2. Select Send All. 3. Enter your PIN, then select OK."
What is the tax treatment of allowances received by U.S. government civilian employees for the shipment of household goods and personal effects to or from a post of duty under 5 U.S.C. sections 5722-5724?,I can help with that. Allowances received by U.S. government civilian employees for the shipment of household goods and personal effects to or from a post of duty under 5 U.S.C. sections 5722-5724 are generally not taxable.
Can a debt be considered secured by your home if it is secured solely because of a lien on your general assets?,"No, a debt is not considered secured by your home if it is secured solely because of a lien on your general assets."
What is the maximum number of months that a home under construction can be treated as a qualified home?,A home under construction can be treated as a qualified home for up to 24 months.
"If you have a second home that you rent out part of the year, what is the minimum number of days you must use it as a home during the year for it to be considered a qualified home?","To be considered a qualified home, you must use your second home for personal purposes for more than 14 days or more than 10% of the total days you rent it out at fair rental value, whichever is greater."
Can you deduct a late payment charge on a mortgage payment as home mortgage interest?,"Yes, you can deduct a late payment charge on a mortgage payment as home mortgage interest if it is not for a specific service performed in connection with your mortgage loan."
Explain the tie-breaker rule in the context of tax treaty benefits for U.S. government employees working abroad.,"I can help with questions related to Quickbooks, Turbotax, or Tax. Could you please provide more details or specify your question related to these topics?"
"How do you determine if your home mortgage interest is fully deductible, considering factors like the date of the mortgage, the amount of the mortgage, and how the mortgage proceeds are used?","To determine if your home mortgage interest is fully deductible, consider the following factors: the date of the mortgage, the amount of the mortgage, and how the mortgage proceeds are used. Generally, interest on mortgages taken out after December 15, 2017, is deductible on up to $750,000 of mortgage debt ($375,000 if married filing separately). For mortgages taken out before this date, the limit is $1 million ($500,000 if married filing separately). The mortgage must be used to buy, build, or substantially improve your home."
Discuss the treatment of a wraparound mortgage as a secured debt for the purpose of deducting home mortgage interest.,"I can help with Quickbooks, Turbotax, or Tax questions. Could you please provide more details or clarify your question?"
What are some examples of pay differentials that are considered taxable income for U.S. government civilian employees working abroad?,"A wraparound mortgage is treated as a secured debt for the purpose of deducting home mortgage interest if it is secured by your home. The interest paid on this type of mortgage can be deductible, provided it meets the IRS requirements for home mortgage interest."
Under what circumstances can you change the home you treat as a second home during the year for the purpose of deducting home mortgage interest?,"To allocate the use of your home for a home office, you need to determine the percentage of your home used exclusively for business. This is typically done by dividing the square footage of the home office by the total square footage of your home."
How does the deduction for points work when refinancing a mortgage?,"Examples of taxable pay differentials for U.S. government civilian employees working abroad include post differentials, danger pay, and cost-of-living allowances."
"Explain the concept of ""redeemable ground rents"" and their deductibility as mortgage interest.","You can change the home you treat as a second home during the year for the purpose of deducting home mortgage interest if you meet specific IRS requirements. Generally, you can only have one second home at a time, but you can change which home is considered your second home if you sell the current one or convert it to a rental property."
What are the tax implications of receiving mortgage assistance payments under section 235 of the National Housing Act?,"When refinancing a mortgage, points paid are generally deductible over the life of the loan. If you use part of the refinanced mortgage to improve your home, you may be able to deduct those points in the year they are paid."
"How do you treat refunds of interest received in the same tax year you paid it, and how does it differ from refunds received in a later year?","Redeemable ground rents are payments made for the use of land that can be bought out by the tenant. For tax purposes, these payments can be deductible as mortgage interest if they meet certain IRS criteria."
Can you deduct the interest paid on disaster home loans from the Small Business Administration (SBA) as mortgage interest?,"Mortgage assistance payments received under section 235 of the National Housing Act are generally not considered taxable income. However, it's advisable to consult with a tax professional for specific guidance related to your situation."
"What are the requirements for deducting points in full in the year paid, and what are the alternatives if you don't meet those requirements?","Refunds of interest received in the same tax year you paid it should be deducted from the interest expense for that year. If the refund is received in a later year, it should be reported as income in the year it is received."
How does the mortgage interest credit affect your mortgage interest deduction?,"Yes, you can deduct the interest paid on disaster home loans from the Small Business Administration (SBA) as mortgage interest, provided the loan is secured by your home."
What are the rules for deducting home mortgage interest for divorced or separated individuals?,"To deduct points in full in the year paid, the loan must be for your primary home, the points must be a percentage of the loan amount, and the points must be standard in your area. If you don't meet these requirements, you can amortize the points over the life of the loan."
